"","Utilidad_Total_Opcion.1.","Utilidad_Total_Opcion.2.","Utilidad_Total_Opcion.3."
"283",1271,1020.59759651767,1516
"284",1238,1622,811.317550673825
"285",1277,964.819220469206,1543
"286",1055.76183066268,945.41292347938,809.30988692595
"287",1268,266.129871918117,1663
"288",1235,826.112602877518,1501
"289",1295,1436,-55.8513979759095
"290",1072.55307434167,612.168610205669,474.172629858256
"291",1295,1067.51960874829,273.952445064066
"292",875.263842312762,1478,23.3385825824089
"293",1256,1547,1516
"294",933.934414044509,662.888883721192,1531
"295",1244,1389.87746019542,1522
"296",1134.27688744254,1289.19004288111,1504
"297",1013.96792886105,1247.59387523443,1519
"298",1409,1288.11319081004,1135.59841834266
"299",627.786178771002,1481,1516
"300",1316,1309.15869586673,986.208778400742
"301",1280,529.421169293788,1234.19292414588
"302",1400,988.533056400592,448.965997094142
"303",1195.00255803435,521.11873858806,1055.62435288215
"304",1382,1454,878.112935677205
"305",1292,1311.01284531932,1355.09884361837
"306",774.13649626877,581.562463118968,248.913170744131
"307",1114.70644513271,1045.97346485472,1233.99725867532
"308",1075.01479095414,223.723919002638,731.466704346661
"309",1358,1228.82627390397,1510
"310",1241,1475,1270.37400938014
"311",1325,1349.7194378272,1585
"312",1241,1430,602.355754669757
"313",1337,1189.4214787265,913.730061643317
"314",1325,1499,1537
"315",1174.42585671514,1328.59089555722,836.011013815596
"316",1307,968.445007397782,1393.91609441963
"317",1367,665.231147798489,1252.06035511828
"318",1337,1487,1013.0714967015
"319",1364,1226.90005585517,1232.40360593889
"320",1214.80028025029,1151.37101830241,1528
"321",1056.27681200445,1269.67577286085,812.111021017058
"322",1319,1309.01504687853,1174.69171080925
"323",1214.81943718317,966.780131071367,1454.76805347056
"324",1307,1269.78405885158,1534
"325",1301,1439,1074.46300665203
"326",1134.16190392107,253.163987334387,1546
"327",155.092070274382,1028.03331769542,1172.92085544882
"328",1247,1209.67855660589,935.034129480739
"329",317.648729502211,246.448075643999,639.748989525215
"330",1280,928.98148781441,1374.53056622686
"331",1286,848.004083499775,1095.4194814299
"332",1286,1445,1174.45777837138
"333",811.315719355465,1457,1504
"334",1280,880.672553940882,776.134223494645
"335",992.108784888632,741.084603771908,1055.31955615158
"336",1253,1288.92878691092,1498
"337",692.192647545671,323.354562012983,1510
"338",1283,1046.84597258597,1012.40038591278
"339",1319,1250.16578298345,913.950895098292
"340",1093.67311817959,1430,832.412028813517
"341",1364,379.055795629539,1591
"342",1113.09661155364,1167.87619943374,1522
"343",1415,1454,1516
"344",1286,1108.91186410385,1173.50226779909
"345",732.927289027407,1445,1454.91915729216
"346",1352,1481,1540
"347",1215.04117888322,1289.51070784955,1353.59020145747
"348",1313,1514,1093.14157444581
"349",1319,1514,1292.13626696949
"350",1235,685.589606012742,844.809780615864
"351",1349,1187.24873634117,712.750852296153
"352",1241,1463,1173.6550654408
"353",1358,1511,1373.25899120284
"354",1134.07506518009,1009.46087332851,950.34965257249
"355",605.899762375993,1445,949.445725030626
"356",953.9269111746,62.6115971516906,521.836776621284
"357",735.460161400531,-81.728786412812,708.483678619629
"358",1174.2230565493,1087.23296219324,1582
"359",1265,1309.53119908721,1011.26835703933
"360",1113.74811724777,529.83948334068,1175.15895087619
"361",1054.44039663929,1309.1653989263,1603
"362",1033.23444965792,1478,-82.9744159018915
"363",1271,1209.48230011572,1172.02040637949
"364",1271,1289.45624570208,1531
"365",1241,944.569087037654,900.834154182924
"366",1247,1430,1276.3994907739
"367",1134.5757822199,1454,1519
"368",1322,1167.08086082524,1394.65037043995
"369",970.925561325526,1104.39836554555,831.084341637486
